Sample,U238_ppm_mean,U238_ppm_2SE,Mg24_ppm_mean,Mg24_ppm_2SE,Al27_ppm_mean,Al27_ppm_2SE,Si28_ppm_mean,Si28_ppm_2SE,P31_ppm_mean,P31_ppm_2SE,Ca43_ppm_mean,Ca43_ppm_2SE,Fe56_ppm_mean,Fe56_ppm_2SE,Sr88_ppm_mean,Sr88_ppm_2SE,Y89_ppm_mean,Y89_ppm_2SE,Ba137_ppm_mean,Ba137_ppm_2SE,La139_ppm_mean,La139_ppm_2SE,Ce140_ppm_mean,Ce140_ppm_2SE,Pr141_ppm_mean,Pr141_ppm_2SE,Nd146_ppm_mean,Nd146_ppm_2SE,Sm147_ppm_mean,Sm147_ppm_2SE,Eu153_ppm_mean,Eu153_ppm_2SE,Gd157_ppm_mean,Gd157_ppm_2SE,Tb159_ppm_mean,Tb159_ppm_2SE,Dy163_ppm_mean,Dy163_ppm_2SE,Ho165_ppm_mean,Ho165_ppm_2SE,Er166_ppm_mean,Er166_ppm_2SE,Tm169_ppm_mean,Tm169_ppm_2SE,Yb172_ppm_mean,Yb172_ppm_2SE,Lu175_ppm_mean,Lu175_ppm_2SE,Ca44_CPS_mean,Ca44_CPS_2SE,Type
17,21,1,233,18,77,13,"3,122",252,"90,006","1,305","443,235","5,092",759,38,390,7,584,9,1,0,"1,820",25,"4,536",57,517,7,"1,710",27,274,4,13,0,200,3,25,0,120,2,22,0,52,1,6,0,36,1,5,0,"3,154,380","34,028",Barren
18,56,2,983,135,745,138,"6,058",484,"92,749","1,241","437,347","5,655","2,402",342,345,5,695,16,5,1,"1,826",35,"4,742",78,564,10,"1,864",35,302,6,18,1,228,5,28,1,144,3,26,1,65,2,8,0,47,1,7,0,"3,193,400","33,672",Barren
19,51,1,411,24,216,21,"6,835",220,"89,972","1,077","424,175","5,573",904,44,343,4,652,11,2,0,"1,747",21,"4,678",58,537,7,"1,824",35,288,5,17,0,217,4,27,1,134,2,24,0,61,1,7,0,45,1,6,0,"3,254,630","31,194",Barren
20,29,1,183,30,38,11,-985,489,"91,461","1,060","437,959","6,197",494,23,384,5,640,9,1,0,"1,592",25,"3,925",58,464,6,"1,607",22,273,4,13,0,215,2,27,0,129,2,24,0,57,1,7,0,39,1,5,0,"3,184,620","29,746",Barren
21,27,0,419,55,200,36,"6,105",219,"92,769","1,192","438,328","5,433","17,277","20,950",374,4,642,8,1,0,"1,562",22,"3,874",57,456,7,"1,576",21,262,3,12,0,214,3,25,0,124,2,23,0,56,1,6,0,37,1,5,0,"3,302,910","31,962",Barren
22,43,1,433,81,163,39,"2,348",465,"95,442","1,389","453,178","5,828","-3,842",266,367,5,738,12,1,0,"1,294",34,"3,475",73,428,9,"1,595",34,281,5,21,1,222,4,28,1,145,3,27,1,66,1,8,0,50,1,7,0,"3,232,770","33,790",Barren
23,69,3,"8,313",989,"7,047",934,"17,759","2,000","98,718","1,428","451,233","5,952","-31,956","4,122",348,6,"1,029",30,38,7,"1,692",45,"4,843",108,617,17,"2,201",53,392,10,23,1,310,8,40,1,207,6,38,1,98,3,12,0,75,2,11,0,"3,000,770","47,962",Barren
24,57,2,338,52,233,60,"4,870",241,"92,403","1,327","441,470","6,583","-1,348",159,350,6,"1,005",26,1,0,"1,741",39,"4,935",111,592,15,"2,141",59,374,9,21,0,307,8,38,1,192,4,37,1,90,2,11,0,67,1,9,0,"3,449,890","38,228",Barren
25,45,1,140,9,36,8,"3,222",245,"99,616","1,227","456,487","6,077",-664,40,363,5,881,15,1,0,"1,684",24,"4,695",72,574,9,"2,027",29,356,5,18,0,281,4,34,0,178,3,34,1,85,1,10,0,61,1,8,0,"3,326,030","28,778",Barren
26,42,1,"1,051",189,"4,193","1,608","13,036","4,016","95,583",983,"444,530","4,499","-1,393",267,388,8,629,10,3,1,"1,462",20,"3,953",46,470,6,"1,597",20,258,4,18,0,200,3,24,0,122,2,23,0,58,1,8,0,46,1,6,0,"3,343,180","33,641",Barren
27,23,1,150,3,59,13,"3,512",266,"97,683","1,922","461,050","10,514",-545,19,398,9,578,10,1,0,"1,927",35,"4,691",103,499,10,"1,655",26,242,5,13,0,192,4,22,0,110,2,21,0,56,1,6,0,37,1,5,0,"3,447,720","49,795",Barren
28,21,1,136,3,13,3,517,282,"95,381","1,718","431,867","7,236",-480,18,393,7,554,10,1,0,"1,756",32,"4,479",71,504,11,"1,605",27,247,5,13,0,194,4,20,0,103,2,20,0,49,1,6,0,36,1,5,0,"3,556,450","40,038",Barren
29,24,1,135,3,19,7,"5,093",467,"95,404","1,580","427,431","8,222",-422,16,387,6,553,10,1,0,"1,825",39,"4,549",78,513,7,"1,660",34,238,3,13,0,189,4,22,0,108,2,20,0,50,1,6,0,35,1,5,0,"3,546,020","43,711",Barren
30,32,1,"1,123",414,609,238,539,573,"96,542","1,149","449,712","5,704",-541,202,312,5,111,2,1,0,"1,512",27,"1,947",32,165,3,501,8,57,1,11,0,45,1,5,0,20,0,4,0,9,0,1,0,8,0,2,0,"3,378,550","35,034",PCD
31,31,1,761,206,433,126,"6,154",401,"92,283","1,069","433,771","6,321",-638,136,319,6,102,2,1,0,"1,340",21,"1,760",33,147,3,433,9,53,1,10,0,43,1,4,0,17,0,3,0,9,0,1,0,7,0,1,0,"3,382,990","43,573",PCD
32,47,1,"1,126",130,515,59,"5,571",342,"96,654","1,161","454,351","4,969","-1,192",121,271,4,133,2,3,0,"1,748",24,"2,348",29,209,3,619,8,76,1,13,0,58,1,6,0,25,0,4,0,12,0,1,0,9,0,2,0,"3,339,560","28,963",PCD
33,37,1,515,63,277,40,"5,793",247,"93,894","1,011","451,031","4,770",-907,86,264,3,121,3,1,0,"1,558",19,"2,157",36,179,3,539,9,70,2,12,0,57,1,5,0,24,1,4,0,10,0,1,0,8,0,1,0,"3,395,160","31,500",PCD
34,56,1,341,48,135,25,"4,058",269,"96,782","1,369","466,361","5,777",-462,49,289,4,121,2,3,0,"1,739",31,"2,223",38,185,4,540,8,67,1,11,0,53,1,5,0,22,0,4,0,10,0,1,0,8,0,1,0,"3,262,260","28,701",PCD
35,61,2,468,81,362,66,"3,712",269,"96,904","1,246","438,632","5,173",-985,138,268,4,107,1,2,0,"1,581",24,"2,048",31,178,3,507,8,61,1,12,0,50,1,5,0,22,0,4,0,10,0,1,0,8,0,1,0,"3,384,660","36,191",PCD
36,12,1,207,19,98,28,"4,524",216,"94,195",974,"444,226","4,741",-844,27,397,6,228,4,6,1,"2,012",25,"3,646",58,370,7,"1,279",24,177,4,26,0,127,3,12,0,54,1,9,0,22,0,2,0,14,0,2,0,"3,329,560","26,267",PCD
37,55,2,680,161,318,79,"4,495",256,"92,394","1,410","449,753","6,146","-2,551",461,312,4,81,3,1,0,"1,335",29,"1,604",38,127,4,383,13,47,2,10,0,35,2,3,0,16,1,3,0,7,0,1,0,6,0,1,0,"3,286,520","34,389",PCD
38,52,2,183,38,3,0,"5,149",202,"96,698","1,116","450,735","5,083","-6,113","3,549",318,6,73,2,1,0,"1,250",25,"1,542",41,118,3,351,12,39,1,9,0,32,1,3,0,13,0,2,0,6,0,1,0,5,0,1,0,"3,161,010","29,150",PCD
39,43,1,471,48,108,21,"4,444",188,"92,787","1,009","442,813","4,164","2,334",212,321,4,82,1,1,0,"1,073",13,"1,332",15,114,1,359,4,45,1,7,0,37,1,4,0,16,0,3,0,7,0,1,0,5,0,1,0,"3,349,270","26,066",PCD
40,48,1,265,29,16,3,"-3,078",274,"91,290",964,"434,140","4,895",489,47,310,4,104,2,1,0,"1,277",15,"1,617",22,138,2,450,8,59,1,9,0,48,1,5,0,22,1,4,0,9,0,1,0,7,0,1,0,"3,380,770","30,445",PCD
41,50,1,260,32,90,21,"4,170",189,"90,706",961,"440,034","4,204",397,33,321,4,116,3,1,0,"1,327",21,"1,730",28,150,3,486,12,68,2,9,0,55,1,5,0,24,1,4,0,11,0,1,0,8,0,1,0,"3,335,760","28,281",PCD
42,42,1,752,113,352,59,"3,386",328,"87,876","1,186","430,542","6,788",712,82,307,5,115,2,1,0,"1,255",39,"1,807",49,171,4,547,12,69,2,11,0,50,1,5,0,23,1,4,0,10,0,1,0,8,0,1,0,"3,341,720","39,277",PCD
43,30,1,"1,465",246,"3,182","1,126","11,881","2,853","86,971",793,"431,627","4,398","1,634",260,380,7,65,2,169,68,981,21,"1,150",29,89,2,270,8,37,1,7,0,30,1,3,0,13,0,2,0,6,0,1,0,5,0,1,0,"3,349,940","34,477",PCD
44,40,1,259,31,392,57,"1,763",304,"86,149","1,226","429,994","6,020",314,24,345,6,93,3,17,3,"1,072",24,"1,317",30,111,3,378,10,52,2,8,0,44,1,4,0,20,1,4,0,8,0,1,0,6,0,1,0,"3,352,570","31,708",PCD
45,40,0,"1,500",187,818,110,"3,053",313,"88,074","1,191","436,751","5,330","1,574",182,336,5,97,2,5,1,"1,116",16,"1,398",26,113,2,394,9,53,1,8,0,46,1,5,0,20,1,4,0,9,0,1,0,6,0,1,0,"3,441,390","39,382",PCD
46,30,1,398,49,326,42,"3,001",164,"87,250",785,"433,441","4,120",649,65,329,3,97,2,2,0,927,13,"1,195",18,109,2,385,8,55,1,7,0,42,1,4,0,21,1,4,0,9,0,1,0,6,0,1,0,"3,415,850","27,174",PCD
47,29,1,155,18,103,17,"3,316",162,"87,072",822,"424,511","3,923",547,75,327,3,94,3,4,1,987,15,"1,263",22,110,3,375,11,53,2,7,0,42,1,4,0,20,1,4,0,8,0,1,0,6,0,1,0,"3,411,410","21,962",PCD
48,44,5,906,11,"2,656","1,563","13,000","5,489","104,231","3,221","499,743","34,150","1,580",81,348,3,80,10,147,74,921,90,"1,457",170,117,14,353,45,46,7,6,0,27,3,3,0,17,4,3,0,6,1,1,0,4,1,1,0,"10,923,400","186,797",PCD
49,28,0,371,50,330,48,"4,273",181,"86,283",671,"427,483","3,779",719,77,332,3,87,3,3,0,969,15,"1,231",25,105,2,355,10,52,2,7,0,39,1,4,0,18,1,3,0,8,0,1,0,6,0,1,0,"3,386,030","22,629",PCD
50,27,1,103,2,4,0,"4,736",241,"90,917","1,908","449,634","9,116",374,17,274,6,168,4,0,0,"1,746",29,"2,555",57,232,5,797,16,112,3,12,0,79,2,8,0,38,1,7,0,14,0,2,0,11,0,2,0,"3,331,620","44,231",PCD
51,47,1,620,108,275,71,"-2,491",308,"87,059","1,041","429,785","4,787",826,120,283,3,102,2,1,0,"1,411",19,"1,898",26,156,3,496,7,65,1,10,0,46,1,5,0,21,0,4,0,9,0,1,0,7,0,1,0,"3,319,290","33,266",PCD
52,33,1,159,19,28,6,"2,801",207,"90,268","1,764","440,301","9,785",419,21,303,9,130,3,1,0,"1,526",33,"2,056",43,175,4,579,9,77,1,11,0,58,2,5,0,26,1,5,0,11,0,1,0,9,0,1,0,"3,204,780","48,029",PCD
53,22,1,184,10,32,6,"3,264",194,"94,364",991,"448,110","5,010",657,31,291,4,141,3,1,0,"1,812",27,"2,540",31,215,4,691,11,91,2,14,0,71,2,6,0,30,1,5,0,13,0,2,0,10,0,2,0,"3,177,310","26,506",PCD
54,49,8,"28,163","8,925","645,829","334,327","116,198","7,187","146,552","33,088","376,920","12,488","48,077","4,652",524,27,71,11,187,43,"1,257",252,"1,524",249,138,21,414,66,92,2,17,3,43,6,3,0,17,4,2,0,5,1,1,0,7,3,1,0,"1,137,600","156,742",PCD
55,45,1,543,54,233,27,"2,831",149,"92,869",718,"431,319","3,304","1,330",90,303,3,77,1,1,0,"1,210",13,"1,552",15,120,1,366,4,41,1,9,0,32,0,3,0,14,0,3,0,7,0,1,0,5,0,1,0,"3,249,250","20,406",PCD
56,27,1,287,40,86,16,"2,447",278,"94,707","2,165","442,581","7,843",707,66,318,7,115,3,1,0,"1,249",36,"1,877",53,152,4,493,11,59,2,10,0,48,1,5,0,23,1,4,0,11,0,1,0,8,0,1,0,"3,222,510","43,302",PCD
57,36,1,275,32,87,14,"3,941",221,"96,360","1,495","432,088","7,738",717,42,317,6,73,1,1,0,"1,068",19,"1,393",25,107,2,329,5,39,1,8,0,30,1,3,0,13,0,2,0,6,0,1,0,5,0,1,0,"3,275,980","39,564",PCD
58,16,1,948,123,419,65,"2,308",266,"99,743","1,546","440,624","5,857","2,220",206,331,6,122,5,1,0,"1,614",52,"2,156",92,186,9,589,27,72,4,13,1,52,2,5,0,25,1,4,0,11,1,1,0,9,0,1,0,"3,164,850","37,110",PCD
59,27,1,"2,974",488,"1,838",387,"5,162",651,"97,576","1,167","433,842","5,909","3,449",418,359,5,970,17,5,1,163,2,529,8,86,1,396,6,140,2,27,0,192,3,34,1,209,3,40,0,103,2,15,0,84,2,11,0,"3,145,690","36,664",PCD
60,24,0,"1,386",231,673,155,"3,253",295,"96,598","1,265","431,090","4,832","2,136",170,352,4,900,9,2,0,146,2,502,6,78,1,384,4,139,2,24,0,180,3,31,0,199,2,37,0,95,1,13,0,77,1,11,0,"3,318,650","28,680",PCD
61,24,0,"1,882",217,"1,070",154,"3,595",347,"105,017","1,303","440,228","6,684","2,640",159,344,5,938,18,3,0,159,3,509,10,82,2,397,9,137,2,26,1,185,3,32,1,201,3,38,1,101,2,14,0,80,2,11,0,"3,213,180","35,563",PCD
62,21,0,296,12,75,18,-532,196,"105,163",990,"447,695","4,292",984,26,333,3,918,11,0,0,159,15,562,46,87,6,441,30,159,6,28,1,195,3,34,1,208,3,37,0,99,1,13,0,73,1,10,0,"3,178,390","29,225",PCD
63,23,1,237,7,7,3,"3,974",234,"116,583","2,555","449,300","6,651","1,073",48,330,4,965,25,0,0,134,3,503,10,79,2,421,11,155,3,30,1,202,4,36,1,218,5,39,1,102,2,13,0,74,2,10,0,"3,122,830","48,722",PCD
64,21,1,173,6,2,0,"1,466",206,"107,961","1,722","423,743","6,441",889,35,303,5,886,33,0,0,112,4,429,14,70,2,361,11,148,4,28,1,190,6,33,1,201,7,36,1,92,3,12,0,69,3,9,0,"3,359,740","39,375",PCD
65,27,1,395,11,3,0,"3,331",183,"117,515","1,757","456,891","5,818","1,575",45,346,6,"1,198",31,0,0,172,4,611,12,96,2,467,11,179,4,31,1,224,5,40,1,254,7,46,1,125,3,17,0,100,2,13,0,"3,225,580","35,344",PCD
66,19,0,285,23,255,42,"2,749",225,"109,346","1,124","437,619","4,987","1,115",41,316,3,"1,127",21,1,0,112,2,472,9,88,2,474,7,194,3,37,1,241,4,42,1,252,4,46,1,120,2,15,0,90,2,12,0,"3,416,820","26,991",PCD
67,11,0,288,7,3,0,"2,668",234,"117,352","1,472","439,168","5,782","1,368",44,347,4,971,12,0,0,145,3,504,10,81,1,397,6,147,2,28,0,197,3,35,1,216,3,40,1,104,2,14,0,78,2,11,0,"3,330,050","31,269",PCD
68,17,1,251,11,43,18,"2,537",186,"112,929","1,467","446,259","4,776","1,442",42,295,5,"1,098",21,0,0,113,3,539,10,104,2,583,9,230,5,54,1,267,5,44,1,267,4,48,1,118,2,14,0,86,2,11,0,"3,338,270","29,898",PCD
69,15,0,265,11,5,1,"3,299",184,"113,836","2,139","432,750","6,425","1,675",68,306,7,"1,132",22,0,0,117,3,531,11,105,2,558,12,220,4,52,1,266,4,43,1,253,5,46,1,123,3,16,0,91,2,11,0,"3,355,480","44,270",PCD
70,13,0,215,6,3,0,"4,000",170,"114,672","1,414","456,161","6,041","1,328",43,285,4,968,18,0,0,88,2,429,8,85,2,493,9,185,3,37,1,210,4,36,1,219,4,39,1,106,2,14,0,84,2,11,0,"3,335,390","33,463",PCD
71,14,1,256,6,2,0,"3,571",187,"114,729","1,447","444,659","6,120","1,490",46,288,4,"1,064",22,0,0,104,7,536,43,99,5,565,22,194,5,40,1,225,5,38,1,224,5,42,1,112,3,15,0,93,2,12,0,"3,343,890","37,280",PCD
72,11,1,"1,338",128,"2,887",190,"8,474",676,"137,756","8,624","460,263","35,034","2,904",73,214,8,712,31,28,8,112,18,410,31,84,11,396,32,159,12,43,3,168,12,30,3,172,15,28,2,71,5,10,1,56,5,6,1,"9,146,880","312,054",PCD
73,9,0,382,25,"1,197",147,"2,484",156,"116,730",932,"453,264","3,039","1,608",51,230,2,864,13,2,0,84,1,376,5,72,1,408,5,163,2,41,0,195,2,34,0,191,3,35,1,90,2,11,0,66,1,8,0,"3,222,690","17,680",PCD
74,13,1,245,8,22,7,"4,696",240,"110,798","2,073","432,803","7,175","1,422",39,227,4,"1,090",24,1,0,143,38,678,150,109,17,572,83,212,13,49,2,238,9,42,1,242,6,43,1,119,2,15,0,85,2,11,0,"3,429,030","40,761",PCD
75,12,0,191,6,11,5,"1,826",210,"115,353","3,021","443,416","8,030","1,040",34,240,5,966,21,0,0,78,2,396,8,75,2,443,9,179,4,44,1,221,4,38,1,219,5,41,1,106,2,13,0,77,2,10,0,"3,254,370","43,408",PCD
76,10,0,181,5,115,27,"1,898",183,"111,900","1,032","437,222","4,605","1,222",28,226,2,875,14,0,0,93,9,455,28,86,4,485,17,182,4,39,1,201,3,34,0,196,3,35,1,92,1,12,0,69,1,9,0,"3,282,010","23,604",PCD
77,11,0,221,6,46,10,"3,353",155,"111,835","1,068","442,904","3,986","1,263",25,227,2,981,15,1,0,120,11,541,35,99,4,553,23,192,4,42,1,213,3,37,1,210,3,39,1,102,1,14,0,79,1,10,0,"3,307,440","24,663",PCD
78,14,1,239,7,41,9,"3,311",131,"108,562","1,105","434,708","3,810","1,211",22,227,2,"1,069",19,1,0,371,90,"1,108",200,182,27,943,148,254,19,50,3,250,11,41,1,232,5,43,1,110,2,14,0,83,1,11,0,"3,299,400","26,162",PCD
79,17,0,288,7,3,0,"2,712",178,"108,831","1,409","447,205","5,285",992,29,210,3,"1,206",20,0,0,126,3,575,10,111,2,605,8,226,4,47,1,258,4,45,1,266,4,50,1,132,2,17,0,102,2,13,0,"3,239,900","32,335",PCD
80,21,1,296,7,2,0,"3,172",150,"105,998","1,313","458,364","5,977",947,22,204,2,"1,268",24,0,0,343,52,"1,077",130,178,17,871,67,266,13,52,2,286,9,47,1,269,5,51,1,128,2,17,0,98,2,13,0,"3,315,220","31,468",PCD
81,31,1,332,7,4,0,"3,377",217,"107,160","1,581","443,050","7,456","1,283",41,182,4,"1,418",33,0,0,212,38,805,107,135,13,701,47,262,9,55,2,296,7,53,1,315,9,60,1,160,4,21,0,122,2,17,0,"3,156,390","36,439",PCD
82,64,11,275,9,183,45,"4,079",243,"109,079","2,326","437,713","8,972","1,144",31,183,3,"1,517",72,0,0,883,294,"1,767",584,370,100,"1,667",417,412,71,79,11,394,43,57,4,342,19,63,3,167,7,20,1,120,3,16,1,"3,239,100","44,694",PCD
83,14,0,147,5,2,0,588,218,"104,059","2,376","438,131","7,732",589,36,183,4,818,24,0,0,73,3,328,9,65,2,341,9,149,4,36,1,179,3,31,1,191,6,33,1,81,2,11,0,59,2,8,0,"3,319,330","42,104",PCD
84,18,1,313,8,1,0,"4,699",191,"111,353","3,021","431,721","9,394","1,117",30,313,7,"1,286",29,0,0,280,28,913,59,156,7,684,22,235,9,42,1,248,6,43,2,260,8,52,2,133,3,18,1,118,4,15,0,"3,384,260","63,857",PCD
85,20,1,524,83,582,105,"3,873",292,"112,796",917,"452,552","3,739","1,348",73,319,3,994,20,6,1,190,11,736,30,120,4,590,17,196,5,50,1,214,5,36,1,204,4,37,1,99,2,13,0,82,2,11,0,"3,237,290","21,370",PCD
86,13,0,165,4,78,16,761,154,"112,383","1,193","442,185","4,874",558,20,300,3,676,9,1,0,81,2,380,6,70,1,360,6,143,2,39,0,157,2,26,0,148,2,27,0,69,1,8,0,51,1,7,0,"3,268,390","24,800",PCD
87,12,1,328,20,211,67,"1,526",326,"106,050","2,040","419,204","7,208",918,43,322,6,841,25,0,0,118,3,473,13,80,1,405,8,163,3,36,1,194,4,34,1,188,5,34,1,84,3,10,0,62,2,8,0,"3,349,850","45,009",PCD
88,9,0,379,15,79,50,"2,947",322,"98,860","2,605","422,126","6,775","1,244",37,320,8,935,31,2,1,163,5,561,12,92,3,454,11,185,6,33,1,233,6,42,1,215,5,37,1,87,2,11,0,62,2,8,0,"3,345,970","89,233",PCD
89,18,1,304,14,284,53,"1,553",203,"115,718","1,507","434,993","5,506","1,050",29,305,4,726,24,0,0,109,4,491,18,86,3,445,16,151,6,29,1,157,5,26,1,155,6,29,1,72,3,10,0,65,3,8,0,"3,321,380","34,910",PCD
90,44,3,84,5,30,17,"4,120",250,"113,252","2,390","436,404","10,306",156,12,220,5,623,20,0,0,"1,236",29,"3,154",96,414,14,"1,516",36,281,8,14,1,230,9,25,1,123,4,21,1,53,2,6,0,33,1,5,0,"3,418,260","48,334",Barren
91,6,0,36,1,250,161,974,381,"103,973","2,035","454,885","7,625",71,24,184,6,311,18,1,0,587,88,"1,578",211,185,25,694,79,122,12,8,1,107,8,13,1,65,5,11,1,30,2,3,0,19,1,3,0,"3,530,440","56,900",Barren
92,36,1,43,1,2,0,"2,624",235,"100,220","2,133","429,613","6,347",69,8,207,4,531,14,0,0,"1,260",31,"3,203",60,405,9,"1,402",29,224,6,15,0,189,5,20,1,102,3,17,0,45,1,5,0,31,1,5,0,"3,566,120","58,672",Barren
93,38,1,"2,309",551,"2,409",608,"8,217","1,445","101,943","1,997","424,118","9,768","2,944",703,219,4,478,10,2,0,"1,181",29,"3,227",91,371,9,"1,384",29,216,4,14,0,169,4,20,0,95,3,17,0,43,1,6,0,31,1,5,0,"3,323,160","55,921",Barren
94,33,2,95,2,5,0,"3,958",156,"110,667","1,976","455,864","8,530",172,7,243,4,281,18,1,0,968,63,"2,228",153,236,17,799,57,120,9,12,1,99,7,10,1,51,4,10,1,24,2,3,0,19,1,3,0,"3,351,190","37,777",Barren
95,96,4,91,2,3,1,"3,901",110,"103,107","1,205","445,791","4,856",135,5,243,3,584,23,0,0,"1,632",44,"3,875",118,438,14,"1,585",64,264,11,19,0,221,9,25,1,122,5,21,1,53,2,6,0,37,1,6,0,"3,370,210","26,052",Barren
96,44,2,102,1,2,0,-851,250,"103,691","1,105","434,127","4,076",148,5,240,3,389,15,1,0,"1,348",48,"3,285",129,368,15,"1,261",55,184,8,16,1,146,6,16,1,74,3,13,1,35,1,4,0,25,1,4,0,"3,483,030","24,384",Barren
97,131,2,"1,424",338,"1,230",296,"12,508",740,"127,781","1,592","443,213","5,236","1,834",396,232,3,848,11,1,0,"1,710",29,"4,310",66,555,8,"2,109",37,381,7,20,0,300,6,34,1,169,3,30,1,76,1,9,0,50,1,7,0,"3,387,340","30,082",Barren
98,61,5,174,63,"67,040","28,047","98,079","45,382","129,285","4,166","426,417","6,389",867,222,403,83,468,34,37,15,"1,293",80,"2,891",176,350,24,"1,215",76,204,14,16,1,169,10,19,1,92,6,17,1,45,3,5,0,31,2,5,0,"3,081,200","115,764",Barren
99,51,3,134,19,926,251,"5,560",548,"144,767","1,826","451,138","5,026",585,46,232,4,476,15,6,1,"1,282",43,"2,999",118,362,15,"1,287",47,212,8,16,1,171,6,19,1,89,3,16,1,43,1,5,0,30,1,5,0,"3,283,570","38,815",Barren
100,78,3,114,14,75,15,"3,492",139,"155,601","2,036","453,220","5,549",745,78,215,3,609,20,2,1,"1,589",51,"3,741",102,445,14,"1,585",47,260,9,19,1,207,7,23,1,115,3,21,1,52,2,6,0,38,1,6,0,"3,338,010","32,065",Barren
101,30,1,79,2,3,0,"3,144",294,"157,352","3,461","443,287","7,384",620,35,219,6,301,11,0,0,923,42,"2,108",49,238,6,806,18,134,7,12,0,100,5,11,0,52,3,10,0,26,1,3,0,20,1,4,0,"3,313,900","36,826",Barren
102,50,2,71,2,41,14,"3,717",156,"160,077","3,054","422,384","5,807","1,091",176,219,4,393,11,1,0,"1,369",36,"2,743",89,283,11,834,25,130,4,16,1,108,3,12,0,60,2,12,0,31,1,4,0,27,1,5,0,"3,549,570","49,809",Barren
103,43,6,868,405,314,133,"2,215",738,"169,827","5,011","430,034","12,706","3,571","1,352",214,6,299,36,0,0,"1,120",143,"2,634",351,263,34,858,112,131,17,14,2,97,13,10,1,47,6,9,1,23,3,3,0,18,2,3,0,"3,416,300","75,717",Barren
104,56,3,"5,450",910,"2,685",370,"16,031","2,144","134,573","2,911","448,308","6,312","32,455","4,720",212,5,395,22,199,25,"1,308",77,"2,566",117,253,13,838,43,130,6,15,1,98,5,12,1,65,3,13,1,33,1,5,0,30,1,5,0,"3,036,000","42,601",Barren
105,3,0,286,37,"1,318",447,"3,545",664,"128,619","2,301","426,971","8,411","2,242",263,755,56,140,3,9,3,143,8,323,27,36,4,138,15,31,3,15,0,33,3,5,0,26,1,5,0,13,0,2,0,11,1,1,0,"3,135,590","76,715",PCD
106,0,0,96,33,"2,053",708,"4,925",939,"126,698","3,255","441,999","9,473","1,056",282,202,5,280,31,5,2,128,8,445,21,71,3,315,16,82,5,15,2,77,5,10,1,51,4,10,1,24,3,3,0,18,2,2,0,"3,278,880","63,670",PCD
107,7,0,93,2,1,0,"1,490",176,"119,069","1,792","417,741","6,554",604,38,179,3,269,6,0,0,23,0,113,2,22,0,122,3,68,2,40,1,83,2,14,0,77,2,12,0,23,0,3,0,15,0,2,0,"3,474,010","37,788",PCD
