Sample,U238_ppm_mean,U238_ppm_2SE,Mg24_ppm_mean,Mg24_ppm_2SE,Al27_ppm_mean,Al27_ppm_2SE,Si28_ppm_mean,Si28_ppm_2SE,P31_ppm_mean,P31_ppm_2SE,Ca43_ppm_mean,Ca43_ppm_2SE,Fe56_ppm_mean,Fe56_ppm_2SE,Sr88_ppm_mean,Sr88_ppm_2SE,Y89_ppm_mean,Y89_ppm_2SE,Ba137_ppm_mean,Ba137_ppm_2SE,La139_ppm_mean,La139_ppm_2SE,Ce140_ppm_mean,Ce140_ppm_2SE,Pr141_ppm_mean,Pr141_ppm_2SE,Nd146_ppm_mean,Nd146_ppm_2SE,Sm147_ppm_mean,Sm147_ppm_2SE,Eu153_ppm_mean,Eu153_ppm_2SE,Gd157_ppm_mean,Gd157_ppm_2SE,Tb159_ppm_mean,Tb159_ppm_2SE,Dy163_ppm_mean,Dy163_ppm_2SE,Ho165_ppm_mean,Ho165_ppm_2SE,Er166_ppm_mean,Er166_ppm_2SE,Tm169_ppm_mean,Tm169_ppm_2SE,Yb172_ppm_mean,Yb172_ppm_2SE,Lu175_ppm_mean,Lu175_ppm_2SE,Ca44_CPS_mean,Ca44_CPS_2SE,Type
126,10,1,70,15,25,12,"1,750",224,"118,556","1,969","429,784","7,245",421,121,328,8,392,7,2,1,584,75,"1,477",169,172,16,659,55,109,5,7,0,104,3,13,0,69,2,13,0,37,1,4,0,27,1,4,0,"3,296,240","58,263",Barren
127,18,0,45,1,1,0,"4,902",229,"123,029","1,807","437,846","8,506",285,30,348,7,459,10,1,0,"1,161",20,"2,717",49,325,5,"1,123",21,174,4,11,0,142,3,16,0,90,2,17,0,43,1,6,0,34,1,4,0,"3,265,840","45,216",Barren
128,12,0,54,1,9,5,"4,353",266,"121,077","2,192","459,460","9,483",197,14,346,7,404,9,2,0,"1,844",193,"4,000",350,441,35,"1,387",97,187,9,10,0,147,5,15,0,80,1,15,0,39,1,5,0,28,1,4,0,"3,129,480","44,577",Barren
129,15,0,54,2,3,0,"3,752",215,"131,832","2,471","467,678","9,645",246,14,350,8,417,8,1,0,"1,172",31,"2,920",60,314,6,"1,099",27,165,4,9,0,127,3,15,0,75,2,15,0,39,1,5,0,27,1,4,0,"3,166,110","47,890",Barren
130,51,2,133,6,20,17,"3,151",314,"120,517","2,911","444,762","7,219",602,36,378,8,963,44,1,0,"2,706",106,"6,728",276,754,29,"2,572",112,377,17,22,1,291,13,35,2,198,10,35,2,95,5,12,1,79,4,11,1,"3,244,920","56,227",Barren
131,44,4,129,4,20,9,"3,058",231,"126,668","2,610","439,914","12,025",519,19,345,9,778,41,2,0,"2,315",86,"5,249",172,569,27,"2,002",96,286,15,17,1,238,11,27,1,142,8,27,1,74,4,9,1,56,3,8,1,"3,319,730","49,898",Barren
132,6,0,55,7,331,75,"3,519",163,"120,358","1,918","455,017","6,038",684,110,312,7,479,27,4,1,171,6,715,27,104,6,491,30,112,7,4,0,108,7,15,1,83,5,17,1,45,2,5,0,31,2,5,0,"3,147,900","33,224",Barren
133,3,0,271,53,619,143,"2,993",315,"111,978","1,412","448,046","9,846","1,862",314,304,6,109,8,5,1,50,4,175,10,26,2,114,6,25,2,3,0,27,2,3,0,16,1,4,0,11,1,1,0,8,1,1,0,"3,379,520","43,921",Barren
134,26,10,37,1,12,2,"1,360",302,"112,098","2,026","474,908","11,437","13,820","5,786",278,5,427,42,1,0,233,29,870,109,118,16,474,54,97,10,7,0,85,7,12,1,74,7,16,1,43,4,6,1,36,3,5,0,"3,161,310","52,160",Barren
135,30,1,62,2,10,4,"2,239",183,"110,816","1,892","436,838","6,933","1,955","21,700",364,8,523,10,3,0,"1,608",34,"3,829",66,418,6,"1,443",21,214,4,11,0,181,4,21,0,104,2,19,0,49,1,6,0,37,1,5,0,"3,246,280","46,089",Barren
